Node 0: Distance 0, Path 0
Node 1: Distance 14, Path 0->8725->4947->2766->2143->1
Node 2: Distance 6, Path 0->3307->9130->2
Node 3: Distance 16, Path 0->6389->4589->3124->7161->908->2004->7251->5789->3
Node 4: Distance 13, Path 0->8091->2225->7717->1887->2733->4310->1211->4
Node 5: Distance 16, Path 0->3307->2968->5224->4421->7534->1171->5
Node 6: Distance 12, Path 0->3307->9130->2->1481->6
Node 7: Distance 14, Path 0->8968->7539->8011->4018->1722->7
Node 8: Distance 14, Path 0->8091->2225->7717->1887->9086->1112->8
Node 9: Distance 13, Path 0->8091->9757->9727->7121->9
Node 10: Distance 16, Path 0->6389->9626->8686->1411->4919->1111->10
Node 11: Distance 18, Path 0->7466->8542->6711->5975->7964->11
Node 12: Distance 10, Path 0->3307->9130->358->1893->12
Node 13: Distance 9, Path 0->7466->13
Node 14: Distance 16, Path 0->3307->9130->2->9581->3995->6386->5788->4741->979->14
Node 15: Distance 13, Path 0->5264->7312->8301->6553->6382->15
Node 16: Distance 16, Path 0->3307->2968->9845->1244->6718->3126->1201->16
Node 17: Distance 13, Path 0->3307->9130->2->5764->2106->17
Node 18: Distance 15, Path 0->8091->6183->7417->5633->6958->4101->18
Node 19: Distance 17, Path 0->6389->9626->8686->7494->4821->2906->1561->2715->19
Node 20: Distance 12, Path 0->7466->8542->20
Node 21: Distance 14, Path 0->3976->9239->7243->2827->21
Node 22: Distance 13, Path 0->3307->2968->5224->8882->22
Node 23: Distance 9, Path 0->8091->6183->1067->23
Node 24: Distance 14, Path 0->3307->9130->358->24
Node 25: Distance 18, Path 0->3307->2968->7816->8995->5115->25
Node 26: Distance 14, Path 0->6389->9626->8686->9589->5255->26
Node 27: Distance 14, Path 0->8091->6183->8620->8424->4369->27
Node 28: Distance 14, Path 0->8968->7539->8011->8399->4084->1032->28
Node 29: Distance 11, Path 0->8091->2225->7717->7787->1693->5042->29
Node 30: Distance 16, Path 0->8091->4445->520->7416->9536->3469->30
Node 31: Distance 12, Path 0->8725->5158->31
Node 32: Distance 16, Path 0->8091->2225->7717->7787->3382->9815->3458->4125->3853->32
Node 33: Distance 11, Path 0->8725->1123->7991->33
Node 34: Distance 17, Path 0->8091->6183->7417->5633->6958->4101->7207->34
Node 35: Distance 16, Path 0->8091->6183->4927->3228->2120->35
Node 36: Distance 16, Path 0->8091->5598->8877->2115->7196->6933->4370->36
Node 37: Distance 17, Path 0->3307->9130->2->5040->9227->37
Node 38: Distance 15, Path 0->8091->5598->3043->8145->5813->1363->8669->38
Node 39: Distance 13, Path 0->8725->5158->5438->39
